s.no,Code,Station,Latitude,Longitude
302,DGN,Dongargaon,21.6200653,76.3707733
303,KTRA,Kotra,25.8112268,78.3810723
304,KRXA,Khara,21.6651468,80.2038168
305,ARPR,Alirajpur,22.3001679,74.3987182
306,HTT,Hatta Road,21.7052761,80.2078579
307,MKT,Mukhtiara Balwada,22.3853551,75.9779783
308,KNDG,Kanhad Gaon,21.7411956,80.2080949
309,ABRV,Ambari Richhavi,22.3195537,74.2718937
310,GRHX,Garra,21.7999652,80.1470759
311,KAYI,Kaydi Halt,21.7952658,80.1092929
312,WRI,Waraseoni,21.7712719,80.0575563
313,SGC,Saongi,21.7968548,79.9980079
314,LNW,Lakhanwara,21.7851242,79.8738276
315,KGE,Katangi,21.7654343,79.8099078
316,NGW,Nauganwan,23.249094,75.1570636
317,DTQ,Datarda Kalan,25.7394512,76.6971022
318,GPX,Gautampura Road,23.0267776,75.5287674
319,OM,Omkareshwar Road,22.2149369,76.0464568
320,CTJ,Chhataini,23.9943393,81.2774563
321,DTAP,Dhatura Alipur,22.4240314,80.1687578
322,SIKD,Sikroda Kwanri,26.5695519,77.9631409
323,KDHI,Kaladehi,22.8820854,79.8349335
324,TEO,Teegaon,21.6375858,78.4603095
325,MIAL,Milaoli,26.3002868,78.1199773
326,PWK,Pipariya Kalan,23.855429,80.729856
327,DMYA,Damoy,23.9712895,80.9977879
328,BKTL,Baktal,23.2515303,77.0127753
329,SYF,Semai,26.2854986,77.5239273
330,RENH,Renhat,25.9803749,77.8350778
331,PLA,Palia,22.830363,75.7994854
332,BWW,Barwaha,22.2561316,76.0309936
333,DRGM,Deoragram,24.1098103,82.3592234
334,RGG,Raghogarh,24.462893,77.1604574
335,DRPH,Devri P.H.,22.8413006,79.8336954
336,RIKA,Ratikheda,24.5963749,77.659544
337,PSO,Palsora Makrawan,23.2602676,75.5313599
338,THR,Thara,26.3563139,77.8509084
339,LEK,Lakhakhera,23.7607336,80.5643555
340,SKBR,Shankarpur Bhadaura,24.1038463,81.8692911
341,TKLN,Tarrakalan,25.9842667,76.9108632
342,RTGN,Ratangaon,23.8366822,79.902137
343,PHOP,Phoop,26.6558416,78.8816544
344,NUB,Nurabad,26.4050848,78.0776348
345,SLHA,Salhana,23.8054747,80.6389643
346,RAU,Rau,22.6336511,75.8051046
347,RAPU,Rampura,24.8445793,79.3515229
348,GGGS,Garha Goods Shed,23.1414003,79.8647065
349,MABN,Maban,24.6423216,77.3749371
350,TRDI,Tirodi,21.6800861,79.7166802
351,JKR,Jaulkhera,21.8603537,78.1997759
352,SFZ,Sinduriya Kachari,24.0215818,76.9262925
353,ULA,Umra Nala,21.875608,78.8805934
354,PDE,Pindrai,22.5122384,80.0467499
355,IKD,Ikdori,26.0543688,76.9517329
356,PTP,Patal Pani,22.5139628,75.7969037
357,JGZ,Jamgaon,22.4188607,80.19791
358,SMTL,Simariatal,25.9216715,78.3038826
359,MHDA,Mahdeiya,24.2095193,82.5883162
360,KMA,Kaima,24.6110538,80.8454651
361,SKAR,Sakariya,24.6040647,80.9060079
362,DHQ,Dharakhoh,22.0098397,77.9501204
363,BBY,Bhadroli,26.3011551,78.1809189
364,PAL,Palasner,22.2986014,77.0425004
365,ASL,Aslaoda,23.2309256,75.6079531
366,BBAR,Bara,26.1861475,73.7000078
